model,threshold,roc_auc,pr_auc,f1,precision,recall,time_to_detection,sigma_threshold
Rolling RMS,0.7472810964485687,0.9999983431261208,0.9999950617798665,0.9995541685242978,1.0,0.9991087344028521,0.7476666666666667,0.645813006129342
Isolation Forest,0.05969909426501785,0.9933935136436274,0.9637454271763156,0.9696180555555556,0.9450084602368867,0.9955436720142602,0.7476666666666667,
One-Class SVM,23.52542353599067,0.9997962707878024,0.9993930184281081,0.986784140969163,0.975609756097561,0.9982174688057041,0.7476666666666667,
