dataset,model,threshold_type,threshold,roc_auc,pr_auc,f1,precision,recall,time_to_detection
FEMTO Bearing1_2,Rolling RMS,asset_calibrated,0.5240309878057429,0.7828968253968255,0.6150571431030589,0.3872340425531915,0.7583333333333333,0.26,0.20966666666666667
IMS 1st_test bearing 1,Rolling RMS,asset_calibrated,0.18173196808777825,0.6882890191364982,0.4094800067062008,0.004382328556200403,0.9736842105263158,0.0021961063627730293,4.767333333333334
