dataset,model,threshold_type,threshold,roc_auc,pr_auc,f1,precision,recall,time_to_detection,sigma_threshold
FEMTO Bearing1_1,Rolling RMS,development,0.7472810964485687,0.9999983431261208,0.9999950617798664,0.9995541685242978,1.0,0.999108734402852,0.7476666666666667,0.645813006129342
FEMTO Bearing1_1,Isolation Forest,development,0.0596990942650178,0.9933935136436274,0.9637454271763156,0.9696180555555556,0.9450084602368868,0.9955436720142602,0.7476666666666667,
FEMTO Bearing1_1,One-Class SVM,development,23.52542353599067,0.9997962707878024,0.999393018428108,0.986784140969163,0.975609756097561,0.998217468805704,0.7476666666666667,
FEMTO Bearing1_1,LSTM Autoencoder,development,6.283336639404297,0.999370923020484,0.9980846248202776,0.9708093763821318,0.9432746024924796,1.0,0.7313333333333334,
FEMTO Bearing1_2,Rolling RMS,frozen_femto,0.7472810964485687,0.7828968253968255,0.6150571431030589,0.3940435280641466,0.9942196531791907,0.24571428571428572,0.057,
IMS 1st_test bearing 1,Rolling RMS,frozen_femto,0.7472810964485687,0.6882890191364982,0.4094800067062008,0.0,0.0,0.0,,
FEMTO Bearing1_2,Rolling RMS,asset_calibrated,0.5240309878057429,0.7828968253968255,0.6150571431030589,0.3872340425531915,0.7583333333333333,0.26,0.20966666666666667,
IMS 1st_test bearing 1,Rolling RMS,asset_calibrated,0.18173196808777825,0.6882890191364982,0.4094800067062008,0.004382328556200403,0.9736842105263158,0.0021961063627730293,4.767333333333334,
